Title;isCover;other_band_name;guitar_tab;album
Ace Of Spades;true;Motörhead;;
Adrenaline Buck;;;;
Afterglow;;;;Still Life With Eggplant
All Is Loneliness;true;Moondog;https://tabs.ultimate-guitar.com/tab/motorpsycho/all-is-loneliness-tabs-2882867;
Anna Johanna;;;;
Another Ugly Truth;;;;
Another Ugly Tune;;;;
Aquirre;true;Fenningen;;
Are You Ready;true;Grand Funk Railroad;;
Arne Hassle;;;;
As We Go Along;true;Carole King;;
August;true;Arthur Lee;https://tabs.ultimate-guitar.com/tab/motorpsycho/august-tabs-1671130;
A Light In The Black;true;Rainbow;;
A Pacific Sonata;;;;
A Shrug & A Fistful;;;;
A.S.F.E.;;;;
A Tussler Tune;;;;
Babylon;;;;
Baby Jesus II;;;;
Back To Source;;;;
Banshee;;;;
Barleycorn;;;;
Bartok Of The Universe;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/bartok-of-the-universe-tabs-2543550;
Beautiful Sister;;;;
Bedroom Eyes;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/bedroom-eyes-chords-1208202;
Before The Flood;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/before-the-flood-tabs-2003557;
“Bernstein”-jam;;;;
Big Black Dog;;;;
Big Surprise;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/big-surprise-tabs-2225953;
Black Magic Woman;true;Fleetwood Mac;;
Black To Comm;true;MC5;;
Black W’abbit;true;Alabama Kids;;
Blindfolded;;;;
Blueberry Daydream;;;https://tabs.ultimate-guitar.com/tab/motorpsycho/blueberry-daydream-tabs-2018505;
Bonny Lee;;;;
Brave Captain;;;;
Brave Young Men;;;;
B.S.;;;;
Buggi I Ti;true;Paradisbukta;;
Burn;true;Deep Purple;;
California;;;;
California Dreamin’;true;The Mamas And Papas;;
Cannery Row;;;;
Can’t Find My Way Home;true;Steve Winwood;;
Change;;;;
Child Of The Future;;;;
Cinnamon Girl;true;Neil Young;;
Circles;;;;
Clock Parade;;;;
